g590.t1	VFG038133(gb|WP_000209956)	37.986	437	256	8	13	442	8	436	2.34e-96	297
g590.t1	VFG037851(gb|WP_000209932)	38.215	437	255	8	13	442	8	436	3.63e-96	297
g590.t1	VFG038167(gb|WP_000209958)	37.986	437	256	8	13	442	8	436	3.83e-96	297
g590.t1	VFG038170(gb|WP_000209955)	37.986	437	256	8	13	442	8	436	5.89e-96	296
g590.t1	VFG038155(gb|WP_000209960)	37.757	437	257	8	13	442	8	436	7.79e-96	296
g590.t1	VFG038150(gb|WP_000209936)	37.757	437	257	8	13	442	8	436	1.50e-95	295
g590.t1	VFG038162(gb|WP_000209937)	37.757	437	257	8	13	442	8	436	5.34e-95	294
g590.t1	VFG038172(gb|WP_020752684)	37.986	437	256	8	13	442	8	436	9.97e-95	293
g590.t1	VFG037859(gb|WP_000209939)	37.529	437	258	8	13	442	8	436	2.71e-94	292
g590.t1	VFG002690(gb|WP_002208588)	38.249	434	255	7	13	439	8	435	6.59e-91	283
g590.t1	VFG019017(gb|WP_012304486)	38.249	434	255	7	13	439	8	435	7.58e-91	283
g590.t1	VFG003406(gb|WP_011191889)	38.018	434	256	7	13	439	8	435	8.66e-90	281
g590.t1	VFG013188(gb|WP_012340250)	37.300	437	257	9	13	441	8	435	5.99e-88	276
g590.t1	VFG013332(gb|WP_011609273)	37.300	437	257	9	13	441	8	435	9.40e-88	275
g590.t1	VFG049035(gb|WP_012541094)	38.584	438	255	8	13	442	8	439	7.11e-87	273
g590.t1	VFG048808(gb|WP_004899416)	38.584	438	255	8	13	442	8	439	8.86e-87	273
g590.t1	VFG049042(gb|WP_012967600)	38.584	438	255	8	13	442	8	439	9.40e-87	273
g590.t1	VFG049037(gb|WP_020956641)	38.584	438	255	8	13	442	8	439	1.12e-86	272
g590.t1	VFG002362(gb|WP_011816868)	37.986	437	256	9	13	441	8	437	2.18e-86	272
g590.t1	VFG023781(gb|WP_020283357)	35.892	443	260	10	13	441	8	440	1.17e-80	257
g590.t1	VFG038106(gb|YP_001083163)	38.315	368	215	7	82	442	1	363	8.43e-80	252
g590.t1	VFG014905(gb|WP_196240458)	37.955	440	258	9	11	446	13	441	1.43e-78	252
g590.t1	VFG019908(gb|WP_015886531)	36.585	451	271	9	11	457	15	454	3.88e-77	248
